config,test_accuracy,test_f1
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=200,0.7443,0.7541
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=3 hidden_size=150,0.7626,0.7497
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=200,0.7592,0.7494
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=2 hidden_size=100,0.7706,0.7494
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=3 hidden_size=150,0.7546,0.7488
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=150,0.7489,0.7486
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=150,0.7511,0.7486
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=100,0.7626,0.7485
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=200,0.7603,0.7479
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=2 hidden_size=100,0.7592,0.7476
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=150,0.7569,0.7458
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=200,0.7443,0.7457
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=150,0.7706,0.7455
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=150,0.7672,0.7453
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=150,0.7569,0.7452
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=3 hidden_size=100,0.7546,0.744
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=2 hidden_size=100,0.7477,0.7436
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=100,0.7729,0.7435
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=150,0.7397,0.7418
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=150,0.7729,0.7388
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=100,0.75,0.7386
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=100,0.7523,0.7385
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=200,0.7569,0.7383
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=100,0.7661,0.7378
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=150,0.7534,0.7368
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=100,0.7511,0.7363
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=100,0.75,0.7361
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=100,0.7466,0.736
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=1 hidden_size=100,0.7523,0.7359
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=200,0.7489,0.7358
